"Timestamp","¿En qué fecha realizó los contactos?","Coloque la sede a la pertenecen los alumnos contactados:","Coloque la categoría a la pertenecen los alumnos contactados:","¿Realizó llamadas?","Cantidad de llamadas realizadas (sólo colocar el número de llamadas realizadas):","Cantidad de llamadas efectivas (sólo colocar el número de llamadas efectivas, si ninguna fue efectiva colocar 0):","¿Envío mensajes de contacto?","Cantidad de mensajes  enviados (colocar el número total de mensajes que envío para esta categoría):","Cantidad de mensajes que obtuvieron respuesta (colocar el número de respuestas que obtuvo de sus mensajes enviados):","¿Envío trabajos (entrenamientos)?","¿Cuántos ejercicios diferentes envío?","Que usted sepa, ¿cuántos de sus alumnos de esta categoría recibieron la unidad de entrenamiento?","Según usted, ¿cuántos de sus alumnos de esta categoría realizaron los trabajos?","Si tiene algún comentario o sugerencia escríbalo aquí:"
"2020/04/21 6:27:06 PM CDT","2020-04-20","Florida","Infantil","No","","","Sí","15","7","Sí","5","4","3","Los trabajos deben ser variados no los mismos y la explicación y ejecución bien realizados"
"2020/04/21 6:29:50 PM CDT","2020-04-21","Florida","Infantil","No","","","Sí","5","11","Sí","5","4","3","La creatividad del profesor debe verse reflejada en las unidades de entrenamiento"
"2020/04/21 6:43:11 PM CDT","2020-04-20","Proyecto 4-10","Juvenil","Sí","5","2","Sí","4","4","Sí","4","5","3",""
"2020/04/21 6:48:38 PM CDT","2020-04-21","Proyecto 4-10","Juvenil","Sí","1","1","Sí","2","2","Sí","4","5","3",""
"2020/04/21 6:49:15 PM CDT","2020-04-14","Lourdes","Juvenil","Sí","40","15","Sí","10","10","Sí","12","4","2","ninguno"
"2020/04/21 7:03:25 PM CDT","2020-04-21","Bethania","Infantil","Sí","10","6","Sí","5","3","Sí","3","5","1",""
"2020/04/21 7:16:49 PM CDT","2020-04-21","Bethania","Moscos","Sí","10","8","No","","","Sí","3","5","5",""
"2020/04/21 7:19:02 PM CDT","2020-04-20","Florida","Sub-15","Sí","5","5","Sí","3","5","Sí","4","5","5",""
"2020/04/21 7:26:40 PM CDT","2020-04-21","Lourdes","Infantil","Sí","3","3","Sí","3","3","Sí","3","5","2",""
"2020/04/21 7:28:01 PM CDT","2020-04-27","Castillo Lara","Intermedia","Sí","12","8","No","","","Sí","5","5","4","Pues no todos se conectan o tienen datos "
"2020/04/21 7:28:09 PM CDT","2020-04-27","Castillo Lara","Intermedia","Sí","12","8","No","","","Sí","5","5","4","Pues no todos se conectan o tienen datos "
"2020/04/21 7:30:05 PM CDT","2020-04-21","Gerona","Infantil","Sí","7","4","Sí","7","4","Sí","7","4","4","gracias"
"2020/04/21 7:30:18 PM CDT","2020-04-21","Proyecto 4-10","Sub-15","Sí","5","3","Sí","3","2","Sí","4","5","5",""
"2020/04/21 7:30:40 PM CDT","2020-04-20","Castillo Lara","Intermedia","Sí","7","4","No","","","Sí","","4","3","No todos tienen datos ni redes sociales "
"2020/04/21 7:32:03 PM CDT","2020-04-21","Gerona","Intermedia","Sí","9","5","Sí","9","5","Sí","10","5","5","gracias
"
"2020/04/21 7:32:32 PM CDT","2020-04-21","Castillo Lara","Intermedia","No","","","No","","","Sí","3","5","2","Cuesta que respondan "
"2020/04/21 7:33:42 PM CDT","2020-04-21","Gerona","Juvenil","Sí","11","7","Sí","11","7","Sí","10","5","5","gracias"
"2020/04/21 7:37:24 PM CDT","2020-04-21","Proyecto 4-10","Moscos","No","","","Sí","5","2","Sí","4","3","1",""
"2020/04/21 7:40:23 PM CDT","2020-04-20","Castillo Lara","Juvenil","No","","","No","","","Sí","3","4","3","El problema es que la mayoría no tiene redes sociales por falta de dinero "
"2020/04/21 7:41:16 PM CDT","2020-04-21","Chácara","Infantil","Sí","6","6","Sí","6","6","Sí","5","5","5","Todo bien"
"2020/04/21 7:42:37 PM CDT","2020-04-21","Castillo Lara","Juvenil","No","","","No","","","Sí","2","3","2","Es complicado para todos por el tema económico y no tener redes sociales activas "
"2020/04/21 7:44:28 PM CDT","2020-03-22","Castillo Lara","Infantil","Sí","12","8","No","","","Sí","3","2","2","Lamentablemente no todos cuentan con redes es muy difícil para ellos"
"2020/04/21 7:47:11 PM CDT","2020-04-20","Castillo Lara","Infantil","No","","","Sí","8","4","Sí","33","3","3","Hay escaces de redes"
